reviewer_initials,study_ID,ES_ID,full_citation,publication_year,publication_type,country,random_assignment,blind_measurement,protocol_registration,raw_data_availability,source_code_availability,funding_disclosed,funding_potential_COI,funding_potential_COI_comment,COI_disclosed,species,initial_size_g,experimental_system,experimental_unit,intervention_species,intervention_preparation,treatment_name,intervention_dose,study_duration_days,feeding_conditions,outcome,outcome_category,study_conditions,challenge_category,water_temperature,treatment_mean,treatment_SE,treatment_SD,treatment_n,treatment_n_description,control_group_ID,control_mean,control_SE,control_SD,control_n,control_n_description,units,"data_source
",proportional_data,Comment,short_citation.x,outcome_long,control_CV,treatment_CV,short_citation.y,country_standardised
RP,S001,S001.1,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,BG,growth performance,Basal,Not applicable,22,134.25,5.02,10.04,4,Tank,0% Ulva sp. meal,129.16,5.28,10.56,4,Tank,g/tank,Table 3,No,NA,Bansemer et al. (2016),Biomass gain,0.08175905853205327,0.07478584729981377,Bansemer et al. (2016),Australia
RP,S001,S001.2,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,SGR,growth performance,Basal,Not applicable,22,1.53,0.03,0.06,4,Tank,0% Ulva sp. meal,1.49,0.003,0.01,4,Tank,%BW/day,Table 3,No,NA,Bansemer et al. (2016),Specific growth rate,0.006711409395973154,0.0392156862745098,Bansemer et al. (2016),Australia
RP,S001,S001.3,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FCR,nutrient utilisation,Basal,Not applicable,22,0.77,0.03,0.06,4,Tank,0% Ulva sp. meal,0.73,0.01,0.02,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Feed conversion ratio,0.027397260273972605,0.07792207792207792,Bansemer et al. (2016),Australia
RP,S001,S001.4,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,SG,growth performance,Basal,Not applicable,22,250.58,5.39,10.78,4,Tank,0% Ulva sp. meal,239.47,4.78,9.56,4,Tank,um/day,Table 3,No,NA,Bansemer et al. (2016),Shell gain,0.03992149329769909,0.04302019315188762,Bansemer et al. (2016),Australia
RP,S001,S001.5,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FI,feed behaviour,Basal,Not applicable,22,10.11,0.29,0.58,4,Tank,0% Ulva sp. meal,9.42,0.14,0.28,4,Tank,g/kg abalone/day,Table 3,No,NA,Bansemer et al. (2016),Feed intake,0.029723991507431,0.057368941641938676,Bansemer et al. (2016),Australia
RP,S001,S001.6,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,PER,nutrient utilisation,Basal,Not applicable,22,3.3,0.11,0.22,4,Tank,0% Ulva sp. meal,3.48,0.07,0.01,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein efficiency ratio,0.0028735632183908046,0.06666666666666667,Bansemer et al. (2016),Australia
RP,S001,S001.7,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FW,growth performance,Basal,Not applicable,22,11.84,0.34,0.68,4,Tank,0% Ulva sp. meal,11.49,0.35,0.7,4,Tank,g,Table 3,No,NA,Bansemer et al. (2016),Final weight,0.060922541340295906,0.057432432432432436,Bansemer et al. (2016),Australia
RP,S001,S001.8,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FSL,growth performance,Basal,Not applicable,22,45.33,0.48,0.96,4,Tank,0% Ulva sp. meal,44.51,0.48,0.96,4,Tank,mm,Table 3,No,NA,Bansemer et al. (2016),Final shell length,0.021568186924286678,0.021178027796161483,Bansemer et al. (2016),Australia
RP,S001,S001.9,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,PD,nutrient utilisation,Basal,Not applicable,22,40.24,2.77,5.54,4,Tank,0% Ulva sp. meal,40.98,0.82,1.64,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein deposition,0.04001952171791118,0.13767395626242543,Bansemer et al. (2016),Australia
RP,S001,S001.10,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,ED,nutrient utilisation,Basal,Not applicable,22,26.09,1.52,3.04,4,Tank,0% Ulva sp. meal,25.38,0.4,0.8,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Energy deposition,0.031520882584712376,0.1165197393637409,Bansemer et al. (2016),Australia
