reviewer_initials,study_ID,ES_ID,cohort_ID,full_citation,journal,publication_year,publication_type,country,random_assignment,blind_measurement,protocol_registration,raw_data_availability,source_code_availability,funding_disclosed,funding_potential_COI,funding_potential_COI_comment,COI_disclosed,species,initial_size_g,experimental_system,experimental_unit,intervention_species,intervention_preparation,treatment_name,intervention_dose,study_duration_days,feeding_conditions,outcome,outcome_category,study_conditions,challenge_category,water_temperature,treatment_mean,treatment_SE,treatment_SD,treatment_n,treatment_n_description,control_group_ID,control_mean,control_SE,control_SD,control_n,control_n_description,units,"data_source
",proportional_data,Comment,short_citation,outcome_long,country_standardised,control_CV,treatment_CV
RP,S001,S001.13,S001.A,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,10% Ulva sp. meal,10,92,daily,FCR,nutrient utilisation,Basal,Not applicable,22,0.75,0.01,0.02,4,Tank,0% Ulva sp. meal,0.73,0.01,0.02,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Feed conversion ratio,Australia,0.02739726,0.026666667
RP,S001,S001.23,S001.A,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,20% Ulva sp. meal,20,92,daily,FCR,nutrient utilisation,Basal,Not applicable,22,0.88,0.02,0.04,4,Tank,0% Ulva sp. meal,0.73,0.01,0.02,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Feed conversion ratio,Australia,0.02739726,0.045454545
RP,S001,S001.3,S001.A,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FCR,nutrient utilisation,Basal,Not applicable,22,0.77,0.03,0.06,4,Tank,0% Ulva sp. meal,0.73,0.01,0.02,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Feed conversion ratio,Australia,0.02739726,0.077922078
RP,S001,S001.16,S001.B,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,10% Ulva sp. meal,10,92,daily,PER,nutrient utilisation,Basal,Not applicable,22,3.36,0.05,0.1,4,Tank,0% Ulva sp. meal,3.48,0.07,0.14,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein efficiency ratio,Australia,0.040229885,0.029761905
RP,S001,S001.26,S001.B,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,20% Ulva sp. meal,20,92,daily,PER,nutrient utilisation,Basal,Not applicable,22,2.9,0.06,0.12,4,Tank,0% Ulva sp. meal,3.48,0.07,0.14,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein efficiency ratio,Australia,0.040229885,0.04137931
RP,S001,S001.6,S001.B,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,PER,nutrient utilisation,Basal,Not applicable,22,3.3,0.11,0.22,4,Tank,0% Ulva sp. meal,3.48,0.007,0.01,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein efficiency ratio,Australia,0.002873563,0.066666667
RP,S001,S001.1,S001.C,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,BG,growth performance,Basal,Not applicable,22,134.25,5.02,10.04,4,Tank,0% Ulva sp. meal,129.16,5.28,10.56,4,Tank,g/tank,Table 3,No,NA,Bansemer et al. (2016),Biomass gain,Australia,0.081759059,0.074785847
RP,S001,S001.11,S001.C,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,10% Ulva sp. meal,10,92,daily,BG,growth performance,Basal,Not applicable,22,131,1.78,3.56,4,Tank,0% Ulva sp. meal,129.16,5.28,10.56,4,Tank,g/tank,Table 3,No,NA,Bansemer et al. (2016),Biomass gain,Australia,0.081759059,0.027175573
RP,S001,S001.21,S001.C,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,20% Ulva sp. meal,20,92,daily,BG,growth performance,Basal,Not applicable,22,132.08,1.6,3.2,4,Tank,0% Ulva sp. meal,129.16,5.28,10.56,4,Tank,g/tank,Table 3,No,NA,Bansemer et al. (2016),Biomass gain,Australia,0.081759059,0.024227741
RP,S001,S001.14,S001.D,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",Journal of Applied Phycology,2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,10% Ulva sp. meal,10,92,daily,SG,growth performance,Basal,Not applicable,22,245.63,2.2,4.4,4,Tank,0% Ulva sp. meal,239.47,4.78,9.56,4,Tank,um/day,Table 3,No,NA,Bansemer et al. (2016),Shell gain,Australia,0.039921493,0.017913121
