reviewer_initials,study_ID,ES_ID,full_citation,publication_year,publication_type,country,random_assignment,blind_measurement,protocol_registration,raw_data_availability,source_code_availability,funding_disclosed,funding_potential_COI,funding_potential_COI_comment,COI_disclosed,species,initial_size_g,experimental_system,experimental_unit,intervention_species,intervention_preparation,treatment_name,intervention_dose,study_duration_days,feeding_conditions,outcome,outcome_category,study_conditions,challenge_category,water_temperature,treatment_mean,treatment_SE,treatment_SD,treatment_n,treatment_n_description,control_group_ID,control_mean,control_SE,control_SD,control_n,control_n_description,units,"data_source
",proportional_data,Comment,short_citation,outcome_long,country_standardised,control_CV,treatment_CV
RP,S001,S001.1,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,BG,growth performance,Basal,Not applicable,22,1.3425,5.02,0.10039999999999999,4,Tank,0% Ulva sp. meal,1.2915999999999999,5.28,0.1056,4,Tank,g/tank,Table 3,No,NA,Bansemer et al. (2016),Biomass gain,Australia,0.08175905853205327,0.07478584729981377
RP,S001,S001.2,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,SGR,growth performance,Basal,Not applicable,22,0.015300000000000001,0.03,6e-4,4,Tank,0% Ulva sp. meal,0.0149,0.003,1e-4,4,Tank,%BW/day,Table 3,No,NA,Bansemer et al. (2016),Specific growth rate,Australia,0.006711409395973155,0.039215686274509796
RP,S001,S001.3,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FCR,nutrient utilisation,Basal,Not applicable,22,0.0077,0.03,6e-4,4,Tank,0% Ulva sp. meal,0.0073,0.01,2e-4,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Feed conversion ratio,Australia,0.027397260273972605,0.0779220779220779
RP,S001,S001.4,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,SG,growth performance,Basal,Not applicable,22,2.5058000000000002,5.39,0.10779999999999999,4,Tank,0% Ulva sp. meal,2.3947,4.78,0.0956,4,Tank,um/day,Table 3,No,NA,Bansemer et al. (2016),Shell gain,Australia,0.03992149329769909,0.04302019315188761
RP,S001,S001.5,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FI,feed behaviour,Basal,Not applicable,22,0.1011,0.29,0.0058,4,Tank,0% Ulva sp. meal,0.0942,0.14,0.0028000000000000004,4,Tank,g/kg abalone/day,Table 3,No,NA,Bansemer et al. (2016),Feed intake,Australia,0.029723991507431,0.057368941641938676
RP,S001,S001.6,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,PER,nutrient utilisation,Basal,Not applicable,22,0.033,0.11,0.0022,4,Tank,0% Ulva sp. meal,0.0348,0.007,1e-4,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein efficiency ratio,Australia,0.002873563218390805,0.06666666666666667
RP,S001,S001.7,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FW,growth performance,Basal,Not applicable,22,0.1184,0.34,0.0068000000000000005,4,Tank,0% Ulva sp. meal,0.1149,0.35,0.006999999999999999,4,Tank,g,Table 3,No,NA,Bansemer et al. (2016),Final weight,Australia,0.0609225413402959,0.057432432432432436
RP,S001,S001.8,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,FSL,growth performance,Basal,Not applicable,22,0.4533,0.48,0.0096,4,Tank,0% Ulva sp. meal,0.4451,0.48,0.0096,4,Tank,mm,Table 3,No,NA,Bansemer et al. (2016),Final shell length,Australia,0.021568186924286675,0.021178027796161483
RP,S001,S001.9,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,PD,nutrient utilisation,Basal,Not applicable,22,0.6871674789994737,2.77,0.05974375604621057,4,Tank,0% Ulva sp. meal,0.6947016092835188,0.82,0.01780542901896707,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Protein deposition,Australia,0.025630326432280352,0.0869420597918842
RP,S001,S001.10,"Bansemer, M. S., Qin, J. G., Harris, J. O., Duong, D. N., Currie, K. L., Howarth, G. S., & Stone, D. A. J. (2016). Dietary inclusions of dried macroalgae meal in formulated diets improve the growth of greenlip abalone (Haliotis laevigata). Journal of Applied Phycology, 28(6). https://doi.org/10.1007/s10811-016-0829-0",2016,Primary literature,Australia,No,No,No,No,No,Yes,Yes,Funding provided by AAGA. Industry in-kind support,No COI statement,H. laevigata,2.89,Laboratory,Tank-based,Ulva sp.,meal,5% Ulva sp. meal,5,92,daily,ED,nutrient utilisation,Basal,Not applicable,22,0.5360961443765284,1.52,0.03047952924250524,4,Tank,0% Ulva sp. meal,0.5279756333803636,0.4,0.008012551654841897,4,Tank,arbitrary units,Table 3,No,NA,Bansemer et al. (2016),Energy deposition,Australia,0.015175987580225135,0.05685459513601327
