model,dataset,term,estimate,se,stat,df,pval,ci_lb,ci_ub,pct_change,pct_change_lb,pct_change_ub
Species (fixed),full,speciesH. asinina,0.060477919,0.207825664,0.291003131,210,0.771336132,-0.349213965,0.470169803,6.234413965,-29.47577829,60.02658997
Species (fixed),full,speciesH. discus hannai,0.114256228,0.027766428,4.114905517,210,5.56E-05,0.05951958,0.168992877,12.10393302,6.132654173,18.41117041
Species (fixed),full,speciesH. laevigata,0.015582432,0.015778437,0.987577657,210,0.32449603,-0.015521992,0.046686856,1.570447104,-1.540214702,4.779384737
Species (fixed),full,speciesH. laevigata and H. laevigata_x_H. rubra,0.117040503,0.055252148,2.118297806,210,0.035325386,0.008120575,0.225960432,12.41649609,0.815363589,25.35260642
Species (fixed),full,speciesH. laevigata_x_H. rubra,-0.094962321,0.023263322,-4.082061856,210,6.34E-05,-0.140821886,-0.049102757,-9.059280097,-13.13559842,-4.791670854
Species (fixed),full,speciesH. midae,0.032123392,0.020979712,1.53116456,210,0.127233733,-0.009234435,0.073481219,3.264491758,-0.919192861,7.624832356
Species (random),full,intrcpt,0.032882253,0.036491686,0.901088886,215,0.368549326,-0.039045018,0.104809524,3.342884887,-3.829258616,11.04990669
Outcome category,full,outcome_categoryfeed behaviour,0.080147178,0.032391607,2.474319253,213,0.014130215,0.016298011,0.143996345,8.344651524,1.643154819,15.48798869
Outcome category,full,outcome_categorygrowth performance,0.025495282,0.023412305,1.088969333,213,0.277397952,-0.020654208,0.071644772,2.58230664,-2.044237058,7.427366391
Outcome category,full,outcome_categorynutrient utilisation,-0.00984446,0.026055133,-0.377831869,213,0.705931738,-0.061203398,0.041514478,-0.97961617,-5.936810218,4.238825374
"Outcome category (contrasts, ref = feed)",full,intrcpt,0.080147178,0.032391607,2.474319253,213,0.014130215,0.016298011,0.143996345,8.344651524,1.643154819,15.48798869
"Outcome category (contrasts, ref = feed)",full,outcome_categorygrowth performance,-0.054651896,0.027199101,-2.009327271,213,0.045764394,-0.108265782,-0.00103801,-5.318531929,-10.2610945,-0.103747124
"Outcome category (contrasts, ref = feed)",full,outcome_categorynutrient utilisation,-0.089991638,0.029007812,-3.102324243,213,0.002180149,-0.147170788,-0.032812487,-8.606117204,-13.68534507,-3.227999705
"Outcome category (contrasts, ref = growth)",full,intrcpt,0.025495282,0.023412305,1.088969333,213,0.277397952,-0.020654208,0.071644772,2.58230664,-2.04423706,7.427366392
"Outcome category (contrasts, ref = growth)",full,outcome_categoryfeed behaviour,0.054651896,0.027199101,2.009327271,213,0.045764394,0.00103801,0.108265782,5.617289251,0.10385487,11.43438785
"Outcome category (contrasts, ref = growth)",full,outcome_categorynutrient utilisation,-0.035339742,0.018011899,-1.962021955,213,0.05106239,-0.070844147,1.65E-04,-3.472258449,-6.839292545,0.016467708
Outcome category,sens,outcome_categoryfeed behaviour,0.091275414,0.029406681,3.103900557,177,0.002224025,0.033242587,0.149308241,9.557069931,3.380129594,16.10308112
Outcome category,sens,outcome_categorygrowth performance,0.043189489,0.019633428,2.199793621,177,0.029116917,0.00444376,0.081935218,4.413572817,0.445364785,8.538549407
Outcome category,sens,outcome_categorynutrient utilisation,0.001963524,0.023501225,0.083549844,177,0.933508763,-0.044415138,0.048342185,0.196545263,-4.34432276,4.952972707
"Outcome category (contrasts, ref = feed)",sens,intrcpt,0.091275414,0.029406681,3.10390056,177,0.002224025,0.033242587,0.149308241,9.557069928,3.380129598,16.1030811
"Outcome category (contrasts, ref = feed)",sens,outcome_categorygrowth performance,-0.048085925,0.027343662,-1.758576644,177,0.080377635,-0.102047472,0.005875621,-4.694810764,-9.701331573,0.589291664
"Outcome category (contrasts, ref = feed)",sens,outcome_categorynutrient utilisation,-0.08931189,0.029726085,-3.004495555,177,0.003046161,-0.147975047,-0.030648734,-8.543971347,-13.75473645,-3.018382308
"Outcome category (contrasts, ref = growth)",sens,intrcpt,0.043189489,0.019633428,2.19979362,177,0.029116917,0.00444376,0.081935218,4.413572817,0.445364784,8.538549409
"Outcome category (contrasts, ref = growth)",sens,outcome_categoryfeed behaviour,0.048085925,0.027343662,1.758576644,177,0.080377635,-0.005875621,0.102047472,4.926080945,-0.585839361,10.74360425
"Outcome category (contrasts, ref = growth)",sens,outcome_categorynutrient utilisation,-0.041225965,0.020251936,-2.035655522,177,0.043275767,-0.081192294,-0.001259636,-4.038773352,-7.79836238,-0.12588434
