model,dataset,k,n_levels,n_coef,sigma2_1,sigma2_2,I2_total,R2_marginal,QE,QE_pval,QM,QM_pval,logLik,AIC,BIC
Species (fixed),full,216,11/216,6,3.699117887730378e-4,0.008449715112799702,46.568244079057784,0.29757876031729663,2300.3323708193066,0,6.91455322759628,1.0202262027069677e-6,138.3216791298837,-260.6433582597674,-233.86649801402766
Species (random),full,216,6/11/216,1,0.005825803888930793,5.86518107151843e-4,59.35471012829214,0,3339.9315266749627,0,0.8119611803065723,0.3685493262310412,136.4894640987606,-264.9789281975212,-251.49637608501055
Outcome category,full,216,11/216,3,0.004282379170724652,0.008187277623486443,55.201915476384364,0.046162608358289385,3143.124925584856,0,3.753369138132124,0.011735802746520326,137.67721805596318,-265.35443611192636,-248.54797528337923
"Outcome category (contrasts, ref = feed)",full,216,11/216,3,0.00428237917357277,0.008187277619879408,55.20191547487931,0.04616260835480735,3143.124925584856,0,5.1035847751719485,0.006839286943437408,137.67721805596307,-265.35443611192613,-248.547975283379
"Outcome category (contrasts, ref = growth)",full,216,11/216,3,0.004282379174730401,0.0081872776197601,55.20191547693847,0.04616260835143181,3143.124925584856,0,5.103584775238531,0.0068392869430028555,137.67721805596295,-265.3544361119259,-248.54797528337878
Outcome category,sens,180,10/180,3,0.002174683764284847,0.00833707659277491,48.4708476167067,0.061782020490077784,2342.326707191817,0,4.719776272235081,0.003407051854343348,116.67106348137902,-223.34212696275804,-207.4613782998889
"Outcome category (contrasts, ref = feed)",sens,180,10/180,3,0.0021746837449261344,0.008337076593551504,48.47084757255439,0.06178202053350531,2342.326707191817,0,4.798544082963355,0.009344450264904398,116.67106348137936,-223.34212696275873,-207.4613782998896
"Outcome category (contrasts, ref = growth)",sens,180,10/180,3,0.0021746837653678604,0.008337076598507492,48.47084763290099,0.06178202047081127,2342.326707191817,0,4.798544086095999,0.00934445023713713,116.67106348137881,-223.34212696275762,-207.46137829988848
Dose + dose^2 + initial size (overall),sens,180,10/180,3,1.1797663585472743e-11,0.009000418643357938,44.61079752315197,0.17265185824332405,2422.57183615135,0,15.071113972247089,8.86527346577307e-9,120.10527986901823,-230.21055973803647,-214.32981107516733
Dose + dose^2 + experimental system (overall),sens,180,10/180,4,4.7887838875609824e-4,0.008698640818013817,45.092774935502824,0.15016826024738852,2256.7232172651725,0,7.004709942978844,2.957461550877642e-5,118.8556626754665,-225.711325350933,-206.68842138070409
Dose + dose^2 + duration (overall),sens,180,10/180,3,9.950583389083747e-12,0.009037869592684777,44.713424084889205,0.18199606691890016,2429.101358852734,0,15.219951627218144,7.449881318179371e-9,120.40082779555223,-230.80165559110446,-214.92090692823533
Dose + dose^2 + size + duration (overall),sens,180,10/180,4,1.3835469412725081e-11,0.009112994993920313,44.91814736140867,0.18363650862972097,2419.243066361182,0,11.366502821495287,3.1502962148431766e-8,119.30518410706988,-226.61036821413975,-207.58746424391086
"Dose + dose^2 (unscaled, bubble plot)",sens,180,10/180,3,1.3769932898217993e-4,0.00883134610309229,44.5245319745221,0.15186434626830192,2279.7077385042926,0,11.420020408719676,2.163873964099546e-5,119.85420187246453,-229.70840374492906,-213.82765508205992
Dose + dose^2 + duration (overall),sens,180,10/180,3,9.950583389083747e-12,0.009037869592684777,44.713424084889205,0.18199606691890016,2429.101358852734,0,15.219951627218144,7.449881318179371e-9,120.40082779555223,-230.80165559110446,-214.92090692823533
Dose + dose^2 + duration (feed behaviour),sens,19,6/19,3,0.015393629345659413,0.012382992061262716,89.29689979679993,0.18779908653332908,370.95701461299876,4.364612651044171e-69,2.1687385847797866,0.13159460354791538,8.323037103506259,-6.646074207012518,-2.7831305958136117
Dose + dose^2 + duration (growth performance),sens,109,8/109,3,2.3443551717519006e-4,0.003003670082900986,24.52791230013191,0.2037360684590365,837.95343372926,3.510220689087649e-114,7.255037503880331,1.7910024797846718e-4,113.21873016283959,-216.43746032567918,-203.12026485511885
Dose + dose^2 + duration (nutrient utilisation),sens,52,6/52,3,0.024344733583919573,0.0037635108502062867,62.897137190904765,0.4561574403227374,387.09199132446696,4.355137734948919e-54,16.33526102311684,1.7199426692490596e-7,41.806012407823005,-73.61202481564601,-64.15292332509287
Dose + dose^2 + initial size (overall),sens,180,10/180,3,1.1797663585472743e-11,0.009000418643357938,44.61079752315197,0.17265185824332405,2422.57183615135,0,15.071113972247089,8.86527346577307e-9,120.10527986901823,-230.21055973803647,-214.32981107516733
Dose + dose^2 + initial size (feed behaviour),sens,19,6/19,3,0.01397599163820199,0.01155075808500341,88.46239180856877,0.23046696301284453,370.4637754519128,5.533867715442499e-69,2.874477784426405,0.06877280613698564,8.96449446363275,-7.9289889272655,-4.066045316066594
Dose + dose^2 + initial size (growth performance),sens,109,8/109,3,2.1274326043388048e-4,0.0029886060566519618,24.31719588058978,0.20959059379139502,838.2026997816957,3.1470646086766e-114,7.688507003117533,1.0701005356029339e-4,113.31168167499564,-216.62336334999128,-203.30616787943094
Dose + dose^2 + initial size (nutrient utilisation),sens,52,6/52,3,0.025202959054522606,0.0038699281519709024,63.68110158644203,0.368517872564475,389.57139596154985,1.4634967343968663e-54,15.916921891798689,2.3443611784198778e-7,40.88683576286289,-71.77367152572577,-62.31457003517264
