"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KWGXLTX4","thesis","2015","Tuterangiwhiu, Te Rerekohu","An Investigation of Optimal Feeding Ration and Effects of Probiotic Bacteria on the Growth of New Zealand Abalone (Haliotis iris)","","","","","https://hdl.handle.net/10292/9299","","2015","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Auckland University of Technology","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYFKD8BP","thesis","2024","Mwangudza, Petronilla Masika","Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa","","","","","http://hdl.handle.net/10962/466748","","2024-10-11","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCVAFER3","thesis","2024","Mwangudza, Petronilla Masika","Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa","","","","","http://hdl.handle.net/10962/466748","","2024-10-11","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UEGJ4XD","thesis","2017","Liu, Tiange","Development of a mouse model to evaluate the degree of immunological cross-reactivity between prawns and abalone","","","","","https://researchonline.jcu.edu.au/53096/1/53096-liu-2017-thesis.pdf","","2017","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVBD32N3","thesis","2010","Tung, Che-Huang","Dietary Protein Requirements of the New Zealand Black-Footed Abalone (Haliotis iris, Martyn 1784)","","","","","https://hdl.handle.net/10292/1049","","2010","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Auckland University of Technology","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZK33LGDB","thesis","2025","Hood, Newton Zachary","Dietary microalgae addition improves abalone gonadotropin releasing hormone synthesis, digestive performance, and temperature tolerance","","","","","https://escholarship.org/uc/item/39j5d2z4","","2025-09-16","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","eScholarship, University of California","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AA35ZCJX","thesis","2015","Rouchon, Agnes","Effects of metal toxicity on the early life stages of the sea urchin Evechinus chloroticus","","","","","https://doi.org/10.26686/wgtn.17013266","","2015-01-01","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54SUTGZL","thesis","2024","DeSantiago-Amezcua, Ricardo","Human-mediated impacts on spatial subsidies","","","","","https://escholarship.org/uc/item/7g99h0tt","","2024-01-01","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","eScholarship, University of California","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALIAJ88F","thesis","2019","Grandiosa, Roffi","Investigation of the Pathophysiology of the New Zealand Black-Footed Abalone (Haliotis iris)","","","","","https://hdl.handle.net/10292/13037","","2019","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Auckland University of Technology","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5IAIDIE","thesis","2024","Falade, Abiodun Emmanuel","Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm","","","","","http://hdl.handle.net/10962/466712","","2024-10-11","2025-10-09 23:51:16","2025-10-09 23:51:16","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
