Key,Item.Type,Publication.Year,Author,Title,Url,Abstract.Note,,Publisher,Automatic.Tags
KWGXLTX4,thesis,2015,"Tuterangiwhiu, Te Rerekohu",An Investigation of Optimal Feeding Ration and Effects of Probiotic Bacteria on the Growth of New Zealand Abalone (Haliotis iris),https://hdl.handle.net/10292/9299,,2015,Auckland University of Technology,
TYFKD8BP,thesis,2024,"Mwangudza, Petronilla Masika",Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa,http://hdl.handle.net/10962/466748,,2024,"Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science",
9UEGJ4XD,thesis,2017,"Liu, Tiange",Development of a mouse model to evaluate the degree of immunological cross-reactivity between prawns and abalone,https://researchonline.jcu.edu.au/53096/1/53096-liu-2017-thesis.pdf,,2017,,
HVBD32N3,thesis,2010,"Tung, Che-Huang","Dietary Protein Requirements of the New Zealand Black-Footed Abalone (Haliotis iris, Martyn 1784)",https://hdl.handle.net/10292/1049,,2010,Auckland University of Technology,
ZK33LGDB,thesis,2025,"Hood, Newton Zachary","Dietary microalgae addition improves abalone gonadotropin releasing hormone synthesis, digestive performance, and temperature tolerance",https://escholarship.org/uc/item/39j5d2z4,,2025,"eScholarship, University of California",
AA35ZCJX,thesis,2015,"Rouchon, Agnes",Effects of metal toxicity on the early life stages of the sea urchin Evechinus chloroticus,https://doi.org/10.26686/wgtn.17013266,,2015,,
54SUTGZL,thesis,2024,"DeSantiago-Amezcua, Ricardo",Human-mediated impacts on spatial subsidies,https://escholarship.org/uc/item/7g99h0tt,,2024,"eScholarship, University of California",
ALIAJ88F,thesis,2019,"Grandiosa, Roffi",Investigation of the Pathophysiology of the New Zealand Black-Footed Abalone (Haliotis iris),https://hdl.handle.net/10292/13037,,2019,Auckland University of Technology,
T5IAIDIE,thesis,2024,"Falade, Abiodun Emmanuel",Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm,http://hdl.handle.net/10962/466712,,2024,"Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science",
XPE624YE,thesis,2023,"Rizzo, Natalie",The Impact of Temperature on the Nutritional Composition of Dulse (Devaleraea mollis) and its Influence on Juvenile Red Abalone (Haliotis rufescens),https://escholarship.org/uc/item/72c6h03n,,2023,"eScholarship, University of California",
7PJMZZMG,thesis,2006,"Laas, André",The use of physiological parameters in the management of the South African abalone (Haliotis midae) aquaculture systems in South Africa,http://hdl.handle.net/10394/1145,,2006,North-West University,
K32QK24Q,thesis,1992,"Lleonart, Mark",A gonad conditioning study of the greenlip abalone (Haliotis laevigata),https://doi.org/10.25959/23231642.v1,,1992,,
WTZL9IPH,thesis,2016,"Suleria, Hafiz Ansar Rasul",Bioactive compounds from Australian Blacklip Abalone (Haliotis rubra) processing waste,https://espace.library.uq.edu.au/view/UQ:406669,,2016,"The University of Queensland, School of Medicine",
XN3QBUM5,thesis,1999,"Harris, J. O.","Chronic effects of adverse water quality on the greenlip abalone, Haliotis laevigata Donovan",https://doi.org/10.25959/23247131.v1,,1999,,
