Authors,Author.full.names,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,DOI,Link,Abstract,Open.Access,Source,EID
"A.R., Turnbull, Alison R.; S.A., Rust, Steven Allen; D., Bermudes, Deborah; A., Seger, Andreas","Turnbull, Alison R. (56421466600); Rust, Steven Allen (55650662900); Bermudes, Deborah (60011583800); Seger, Andreas (56830322800)",Multi-trophic paralytic shellfish toxin risk and management across seafood sectors in Tasmania,2025,Harmful Algae,149,,102929,,,10.1016/j.hal.2025.102929,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011542558&doi=10.1016%2Fj.hal.2025.102929&partnerID=40&md5=8819ffb2266447b1245ab2552bdc9a60,"Multi-trophic biotoxin risk management is critically important to regions that suffer from extensive blooms of paralytic shellfish toxin (PST) producing algae. In Australia, Tasmania's east and south-east coasts are hotspots for PST activity due to recurrent blooms of Alexandrium catenella and Gymnodinium catenatum occurring in differing geographic regions and seasonal patterns. Toxins have been measured above bivalve regulatory levels in filter feeders, predatory crustaceans and herbivorous grazers at maximum levels of 340, 13.6 and 3.0 mg STX.2HCl equiv. kg-1 respectively, affecting commercial and recreational fisheries with a combined annual value of USD 103M. Toxin accumulation and depuration rates are highest in bivalve shellfish, followed by lobster and then abalone. Managing PST risk across these multiple seafood species in an area of recurrent bloom activity is challenging. Currently a siloed approach is taken, with diverse strategies for each species that reflect the harmful algal bloom dynamics and varied fishing activities. This review of Tasmanian data and the following stakeholder consultation identified benefits to adopting an integrated approach to risk management across all seafood species. Benefits included cost efficiencies (USD 54,100 per annum), improved data sharing for real-time awareness, streamlined communication and improved cross-sector collaboration. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105011542558
"M.A., Tripp-Valdez, Miguel A.; C.E., Galindo-Sanchez, Clara E.; C., Ventura-López, Claudia; F., Cicala, Francesco; V., Montes-Orozco, Vincent; F., Lafarga-de la Cruz, Fabiola","Tripp-Valdez, Miguel A. (36348852300); Galindo-Sanchez, Clara E. (24721095000); Ventura-López, Claudia (43061652000); Cicala, Francesco (57193423506); Montes-Orozco, Vincent (58193114600); Lafarga-de la Cruz, Fabiola (56013688800)",Diet-driven transcriptional changes in weaning red abalone (Haliotis rufescens) and its hybrid (H. rufescens [♀] x H. fulgens [♂]),2025,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,55,,101484,,,10.1016/j.cbd.2025.101484,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000168573&doi=10.1016%2Fj.cbd.2025.101484&partnerID=40&md5=d172ada1fcd506e13274906f0ee97ad9,"The abalone (Haliotis sp) aquaculture industry is on the rise fueled by its high commercial demand. The use of abalone interspecific hybrids is gaining attention due to their improved growth and tolerance to environmental challenges. However, hybrids may respond differently to dietary inputs compared to their parental species, which could be optimized to achieve maximum growth potential. Accordingly, we previously reported that the postlarvae of a hybrid cross obtained by mating red and green abalone (H. rufescens [♀] x H. fulgens [♂]) presented higher growth and survival rates than red abalone postlarvae when fed with Macrocystis pyrifera (M) and a mixture of Ulva onhoi and Navicula incerta (UN). Here, to gain a deeper insight into the physiological and metabolic responses of both crosses, we report the results of a transcriptome sequencing analysis to unveil the diet-driven physiological changes within each cross. Our findings indicate that the diet induces modulation in the transcriptional machinery related to macromolecules breakdown, especially, the mixed diet UN induced higher expression of lysosomal enzymes, especially in enzymes involved in glycosaminoglycan catabolism, such as arylsulfatases, glucosidases, and alpha-fucosidases, which might indicate a higher ability to break down complex carbohydrates from algae. These transcriptional responses might explain the growth difference between pure and hybrid as well as for abalone fed with M and UN. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105000168573
"S., Hur, Sang-woo; J.F., Cadangin, Josel F.; J., Bae, Jinho; S., Jeong, Seong-mok; J., Kim, June; B., Min, Byung-hwa; Y., Choi, Youn-hee","Hur, Sang-woo (55180061600); Cadangin, Josel F. (57208632685); Bae, Jinho (55340696900); Jeong, Seong-mok (57216899604); Kim, June (57201748320); Min, Byung-hwa (59811638600); Choi, Youn-hee (59911801200)",REPLACEMENT OF DIETARY UNDARIA PINNATIFIDA MEAL WITH ULVA AUSTRALIS OR SACCHARINA JAPONICA BY-PRODUCT ON THE GROWTH PERFORMANCE AND BODY COMPOSITION OF PACIFIC ABALONE HALIOTIS DISCUS HANNAI,2025,Journal of Shellfish Research,44,2,,271,279,10.2983/035.044.0210,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013857438&doi=10.2983%2F035.044.0210&partnerID=40&md5=a7086484db0a4df0eef82e788c26ca5e,"The continuous expansion and increased production of abalone warrant an alternative macroalgal biomass to sustain unhampered feed production. The sea lettuce Ulva australis (UA) and kelp Saccharina japonica by-product (SJBP) have been identified as potential candidates for use as an aquafeed ingredient. In this study, the conventionally used seaweed feed ingredient Undaria pinnatifida was replaced by UA or SJBP at different levels of replacement. Specifically, a diet containing 30% U. pinnatifida meal (control diet, CON) was replaced with 25%, 50%, 75%, and 100% UA meal or SJBP meal, designated as UA25, UA50, UA75, UA100, SJBP25, SJBP50, SJBP75, and SJBP100, respectively. These diets were fed to the abalone for 6 wk under laboratory conditions. Weight growth rate and specific growth rate were affected by algal source and replacement levels, with values similar in CON, all UA-based diets, and SJBP-diets up to 75% replacement levels (P < 0.05). Likewise, shell morphometry (shell length, shell height, and shell width), and soft-tissue weight mirrored body growth parameters (P < 0.05). Feed efficiency ratio, protein efficiency ratio, and condition index were statistically similar in all dietary treatments, except SJBP100-fed abalone. Generally, moisture content was high in UA-based (except UA25) and CON diets, crude protein in SJBP-based diets (except SJBP25), UA75, UA25, and CON dietary groups (P < 0.05). Crude lipid was similar and statistically higher in SJBP25 and CON than other dietary treatments (P < 0.05). Ash content was high in SJBP-based diets, followed by UA-based diets and CON groups (P < 0.05). Overall, these findings illustrate that up to 100% replacement of U. pinnatifida by UA and 75% of SJBP are feasible in formulated feed without detrimental effect on the growth. Nevertheless, in-depth long-term investigation on the actual commercial nursery complex and grow-out culture is necessary to realize full-scale application in abalone aquaculture. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105013857438
"S., Sun, Siqi; X., Yu, Xinlei; K., Lu, Kaixing; N., Xu, Nianjun; X., Sun, Xue","Sun, Siqi (57202744019); Yu, Xinlei (57412130000); Lu, Kaixing (59758521100); Xu, Nianjun (7202694785); Sun, Xue (35211850800)",Contribution of ornithine aminotransferase in proline metabolism response to high temperature in Gracilariopsis lemaneiformis (Rhodophyta),2025,Journal of Phycology,61,4,,884,894,10.1111/jpy.70056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011827813&doi=10.1111%2Fjpy.70056&partnerID=40&md5=9b5e4e3d214b3caf20aab6160543269a,"The seaweed Gracilariopsis lemaneiformis is used for agar and abalone feed, but high summer temperature in the southern oceans of China limits the cultivation industry. Therefore, enhancing the heat tolerance of G. lemaneiformis is crucial for prolonging its growth period along with increasing production and economic performance. Proline, a key osmotic regulator, plays an essential role in stress responses, including drought, heat, cold, and high salinity. Here, we investigated the dynamic changes in proline accumulation and its metabolic enzymes response to high-temperature stress in G. lemaneiformis. Results showed that elevated temperatures significantly increased proline accumulation, stimulated the activities of its synthetases pyrroline-5-carboxylate synthetase (P5CS) and ornithine aminotransferase (OAT), while concurrently suppressed the activity of its degrading enzyme proline dehydrogenase (ProDH). Pearson correlation analysis displayed a stronger positive association between proline level and OAT activity than with P5CS or pyrroline-5-carboxylate reductase (P5CR) activity, as well as a negative correlation with ProDH activity. Furthermore, exogenous 24-epibrassinolide, trehalose, and ornithine increased OAT activity or its gene transcription, while salicylic acid induced P5CS activity and P5CR2 transcriptional levels, which all resulted in the enhanced proline accumulation. Finally, bioinformatics analysis revealed that GlOAT contains a predicted PLP-binding domain, exhibits a high likelihood of mitochondrial localization, and shows a high degree of phylogenetic conservation. In summary, this study demonstrated that OAT is the critical enzyme involved in proline synthesis under high-temperature stress, which might provide a foundation for future transgenic breeding to improve high-temperature tolerance in G. lemaneiformis. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105011827813
"Y., Guan, Yongjing; W., Wu, Weihao; Y., Xie, Yian; R., Zhao, Runfan; Y., Chen, Yaobin; H., Zhang, Huiying; J., Wang, Jing; C., Zhao, Chao","Guan, Yongjing (59981157300); Wu, Weihao (57802825200); Xie, Yian (59980016500); Zhao, Runfan (58669791400); Chen, Yaobin (57992833900); Zhang, Huiying (57190578702); Wang, Jing (55880176800); Zhao, Chao (56477711300)",The Carbon Sink Potential of Marine Algae and Shellfish in China,2025,Journal of Ocean University of China,24,4,,1139,1146,10.1007/s11802-025-6011-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010089673&doi=10.1007%2Fs11802-025-6011-z&partnerID=40&md5=0efd37ba5605ea8e5fbca2f740898942,"Marine algae and shellfish are contributing positively to carbon sinks. As the world’s largest algae and shellfish producer, the carbon sinks potential in China is crucial. Here, the situation of algae and shellfish cultivation in China’s offshore from 2011 to 2020 was elaborated. The intensity of carbon sequestration by algae and shellfish annually was estimated. In 2020, the production of algae and shellfish in China has already reached to 2.62 million tons and 14.8 million tons, with an annual growth rate of 7.03% and 3.14%, respectively. Their annual productivity also maintained an increasing trend, while the rate of productivity increase decreased over ten years except for Porphyra haitanensis, Sinonovacula constricta, and Haliotis discus hannai. Crassostrea gigas and Ruditapes philippinarum were the highest fixed carbon shellfish, and Saccharina japonica was the dominant algae. Meanwhile, the relatively high carbon sink intensity was found in Shandong, Fujian, and Liaoning. In the last decade, the total carbon sink of algae and shellfish was 1.62 million tons and 7.16 million tons, with an increase of 90.55% and 31.73%, respectively. This created an economic value of 3.293 billion dollars. Results indicated that China’s offshore mariculture algae and shellfish assumed the considerable carbon sink capacity. Through rational utilization of the carbon sink resources in algae and shellfish, it provides potential ideas for China to pursue personalized carbon neutrality. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105010089673
"Y., Zhao, Yi; X., Yuan, Xinyu; J., Li, Jinhao; Z., Chen, Zhuying; B., Pan, Bochen; P., Zhu, Penghui; Z., Yao, Zhong; B., Zhu, Benwei","Zhao, Yi (59714278900); Yuan, Xinyu (59125014400); Li, Jinhao (59965373300); Chen, Zhuying (59965504100); Pan, Bochen (59959115700); Zhu, Penghui (59713447800); Yao, Zhong (7401467951); Zhu, Benwei (56372439100)",Efficient degradation of fucoidan polysaccharide extracted from F. vesiculosus by using a novel GH107 family thermostable fucoidanase,2025,International Journal of Biological Macromolecules,319,,145661,,,10.1016/j.ijbiomac.2025.145661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009301848&doi=10.1016%2Fj.ijbiomac.2025.145661&partnerID=40&md5=fbae1c62eb7840faa233063eb649d47c,"Fucoidan exhibits diverse physiological activities and holds significant potential for applications in the food and pharmaceutical industries. Fucoidan oligosaccharides produced through the enzymatic degradation of fucoidan retain the beneficial properties of polysaccharides while demonstrating improved solubility, bioavailability, and bioactivity. Fucoidanases are essential in studying the structure of fucoidans and producing fucoidan oligosaccharides. However, there is limited research on the structural characterization of fucoidanases that specifically degrade fucoidan, which is essential for fully harnessing the biological activities of the resulting oligosaccharides. In this study, a novel fucoidanase, FcnA, was identified and heterologously expressed. This enzyme could specifically hydrolyze fucoidan from Fucus vesiculosus, and exhibited an activity of 399.364 U/mg and demonstrating optimal activity at 50 °C and pH 6.0. The K<inf>m</inf> value of FcnA was 1.0 mg/mL and the V<inf>max</inf> value was 416.67 U/mg. Additionally, FcnA exhibits mesophilic temperature tolerance, retaining over 80 % of its relative activity after incubation for 1 h at temperatures of 50 °C. The results of HPLC and ESI-MS revealed that FcnA could degrade fucoidan into monosaccharides, disaccharides, trisaccharides, and tetrasaccharides. In conclusion, identifying a novel fucoidanase from the GH107 family expands the fucoidanase database and provides new opportunities for the comprehensive utilization of fucoidan. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105009301848
"S.J., Markich, Scott J.; J.P., Hall, Jeremy P.; J.M., Dorsman, Jude M.; P.L., Brown, Paul L.","Markich, Scott J. (6603956300); Hall, Jeremy P. (58246579400); Dorsman, Jude M. (58246579500); Brown, Paul L. (56070579500)",Lithium toxicity to marine organisms: Establishing water quality guideline values to protect temperate and tropical marine life,2025,Chemosphere,383,,144487,,,10.1016/j.chemosphere.2025.144487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007056157&doi=10.1016%2Fj.chemosphere.2025.144487&partnerID=40&md5=f162cab8573111ec40724770db10797c,"The lack of chronic lithium (Li) toxicity data for marine organisms has prevented the establishment of numerical Li water quality benchmarks (e.g., guideline values) to protect marine life and assess ecological risk. This study evaluated chronic Li toxicity in 30 diverse marine species (22 phyla across five trophic levels) from temperate and tropical locations, using no (significant) effect concentrations (N(S)EC), 10 % effect concentrations (EC10) and median effect concentrations (EC50)) as metrics. Eucaryotic species with calcifying life stages were generally the most sensitive to Li, whereas procaryotic species were the least sensitive. Macrophiothrix caenosa (brittle star) was the most sensitive species, with N(S)EC, EC10 and EC50 values of 0.66 mg/L, 0.99 mg/L and 3.29 mg/L, respectively. The EC10 is only 5–6 times higher than the natural Li baseline concentration in coastal seawater (0.18 mg/L). In contrast, Cyanobium sp. (cyanobacteria) was the least sensitive, with corresponding values of 93.0 mg/L, 121 mg/L and 459 mg/L. Lithium sensitivity differed by as much as 140-fold across the species tested, with no significant difference (p > 0.05) between those from temperate and tropical locations. Free Li ions (Li+), which readily bind to cell receptors, comprised ∼83 % of dissolved Li across the range of N(S)EC, EC10 and EC50 values. A weighted-average species sensitivity distribution was used to establish Li water quality guideline values (WQGVs) to protect marine life (e.g., 1.21 mg/L for 95 % species protection). These new WQGVs will improve Li risk assessment in coastal marine waters, especially as Li emerges as a contaminant of concern. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105007056157
"E., Palacios-Mechetnov, Elena; A., Pérez-Juárez, Angélica; O.A., López-Verdugo, Omar A.; O., Arjona, Olivia; A., Mazariegos-Villarreal, Alejandra; E., Serviere-Zaragoza, Elisa","Palacios-Mechetnov, Elena (58679565900); Pérez-Juárez, Angélica (56922149600); López-Verdugo, Omar A. (59761938500); Arjona, Olivia (7005641187); Mazariegos-Villarreal, Alejandra (26536160000); Serviere-Zaragoza, Elisa (6602736824)",Growth and lipid composition of green abalone (Haliotis fulgens Philippi) fed different macroalgae and a seagrass,2025,Aquaculture International,33,4,307,,,10.1007/s10499-025-01977-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003941669&doi=10.1007%2Fs10499-025-01977-y&partnerID=40&md5=e7d8fe6dec0e8c911cd5240fbf8f5994,"Most studies on abalone feeding have focused on protein and total lipid levels. Here, Haliotis fulgens juveniles were fed with four macralgae Ulva lactuca, Eisenia arborea, Macrocystis pyrifera, Gelidium robustum, and a seagrass (Phyllospadix torreyi) for 174 days and lipid composition was analysed in digestive gland and muscle. Better growth for juveniles fed M. pyrifera or E. arborea was observed, and survival was higher for juveniles fed E. arborea. Cholesterol is either synthesized de novo, or transformed from other phytosterols in abalone; several phystosterols were associated with survival. Highly unsaturated fatty acids (HUFA), and particularly docosahexaenoic acid (22:6n-3 or DHA) were found in tissues of juveniles fed E. arborea, that did not contain these HUFA. DHA in muscle phospholipids and several bacteria biomarkers in digestive gland (15:0, 17:0, and branched fatty acids) were negatively associated with growth. Survival was associated with 16:2n-4, a biomarker for diatoms, and iso18:0 a biomarker for mainly gut bacteria. Non-methylene interrupted fatty acids (NMI) were highest in abalone fed U. lactuca, in agreement with the capacity of molluscs to produce NMI when lacking HUFA. Finally, abalone survived for two months without any feed, so feeding experiments should last at least double that time. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105003941669
"L., Chu, Luke; S., Luo, Suya; Q., Chen, Qionglin; X., Chen, Xiaojiao; N., Xu, Nianjun; X., Sun, Xue","Chu, Luke (59280835600); Luo, Suya (57412267800); Chen, Qionglin (57194828442); Chen, Xiaojiao (59640827100); Xu, Nianjun (7202694785); Sun, Xue (35211850800)",The Beneficial Effect of 24-Epibrassinolide Against High-Temperature Stress in Gracilariopsis lemaneiformis Revealed by Physiological Response and Transcriptomic Profiling,2025,Journal of Plant Growth Regulation,44,5,939888,1948,1962,10.1007/s00344-024-11454-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201625163&doi=10.1007%2Fs00344-024-11454-0&partnerID=40&md5=3aff21a439a3f8a3e629b0cbe1a82ed1,"The commercial seaweed Gracilariopsis lemaneiformis is mainly used as raw material for agar production and feed for abalone. The heat-resistant strains G. lemaneiformis are extensively cultivated in the northern and southern coasts of China, yet high temperature in the summertime in southern coasts has hindered the growth and limited the cultivated periods of this seaweed. A vast majority of reports have manifested that exogenous phytohormone brassinosteroids (BRs) can improve the plant heat-tolerance. However, little is known about the effect and its underlying mechanism of BRs in algae. In this study, the effect of 24-epibrassinolide (EBR) on the physiological and transcriptional levels was investigated in the high-temperature stressed G. lemaneiformis. Physiological data indicated that EBR application could improve the growth with 1.43-fold on day 5 and non-photochemical quenching parameter, reduce the productions of reactive oxygen species (ROS) and malondialdehyde (MDA), enhance the accumulations of proline, trehalose, and the levels of endogenous 2-methylthio-N6-isopentenyladenine (2MeSiP), 2-methylthio-cis-zeatin riboside (2MeScZR), jasmonic acid (JA), N-[(-)-jasmonoyl]-(l)-phenylalanine (JA-Phe) and salicylic acid 2-O-β-glucoside (SAG) under high-temperature condition. In addition, transcriptomic analysis identified 656 upregulated- and 680 downregulated-genes following the EBR treatment compared to the control group, revealed that EBR activated the metabolic pathways of the glycolysis, tricarboxylic acid (TCA) cycle, pentose phosphate pathway, and synthesis of threonine, methionine, and serine. Taken together, the aforementioned results highlighted the beneficial effect of EBR via alleviating the oxidative stress, promoting the accumulations of osmolytes and stress-related phytohormones, and activating the metabolisms of carbohydrate and amino acid, thereby resulting in the mitigating of growth inhibition by high-temperature stress in G. lemaneiformis. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85201625163
"J., Crimp, James; L.A., Meyer, Lindsay A.; L.A., Horstmann, Lara A.; J.A., Hollarsmith, Jordan A.; M., Montiel, Maribel; F., Lafarga-de la Cruz, Fabiola; A.R., Frederick, Alyssa R.; W., Licht, Wil; S., Umanzor, Schery","Crimp, James (59749626300); Meyer, Lindsay A. (59456002500); Horstmann, Lara A. (57189045949); Hollarsmith, Jordan A. (57203937828); Montiel, Maribel (59749626400); Lafarga-de la Cruz, Fabiola (56013688800); Frederick, Alyssa R. (57195217809); Licht, Wil (59749297600); Umanzor, Schery (57190795671)","Effect of Macroalgal Diet on Growth Rate and Nutrition of the Pinto Abalone, Haliotis kamtschatkana",2025,Journal of Shellfish Research,44,1,,21,30,10.2983/035.044.0103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003146445&doi=10.2983%2F035.044.0103&partnerID=40&md5=7caf2b78817157019765fbdd77471a55,"Developing methods for the cultivation of the pinto abalone, Haliotis kamtschatkana, has seen increased attention, both by groups using restoration aquaculture to reestablish endangered populations in Washington and British Columbia, and in the State of Alaska, where pinto abalone are viewed as a promising new species for commercial mariculture. To enhance the viability of cultivating H. kamtschatkana for commercial and restoration purposes, more information is needed on the optimal macroalgal diet that maximizes abalone growth and nutrition. This study compares the suitability of two commonly cultivated species of macroalgae as feed: Saccharina latissima (sugar kelp), a kelp with relatively low protein content, and Devaleraea mollis (Pacific dulse), a rhodophyte with comparatively high protein content. Fifty H. kamtschatkana specimens, with a mean shell length of 45.25 ± 4.26 mm, were collected from the wild and fed either S. latissima, D. mollis, or an alternating diet of the two for 28 wk. Feed consumption was measured weekly, whereas shell length and weight change were recorded every 2 mo. Despite consuming significantly more S. latissima than D. mollis (P < 0.001, H. kamtschatkana showed no significant difference in specific growth rate (SGR) (P = 0.775) or linear growth rate (LGR) (P = 0.746) among the diets. Feed conversion efficiency (FCE) was significantly higher for D. mollis than S. latissima (P < 0.001), although there was no significant difference in protein efficiency ratio (PER) (P = 0.129). Proximate composition analyses of abalone tissue showed no significant difference in protein, lipid, carbohydrate, or caloric content across macroalgae diets. Additionally, sexual dimorphism was observed, with females exhibiting significantly higher daily feed consumption (DFC) (P = 0.001), SGR (P = 0.003), and LGR (P = 0.001) than males. These results indicate that whereas both macroalgae species are suitable as feeds for H. kamtschatkana cultivation, the benefits of a D. mollis diet are less pronounced compared with other commercially cultivated abalone species. This study provides actionable insights for those interested in cultivating H. kamtschatkana for commercial or restoration purposes and adds to our understanding of an environmentally and culturally important species in the Northeast Pacific Ocean. © 2025 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-105003146445
